Date,Close
3/2/2015 16:00:00,892.57
3/3/2015 16:00:00,883.53
3/4/2015 16:00:00,880.39
3/5/2015 16:00:00,882.78
3/6/2015 16:00:00,874.51
3/9/2015 16:00:00,869.01
3/10/2015 16:00:00,856.39
3/11/2015 16:00:00,861.62
3/12/2015 16:00:00,863.86
3/13/2015 16:00:00,862.71
3/16/2015 16:00:00,871.7
3/17/2015 16:00:00,872.54
3/18/2015 16:00:00,874.74
3/19/2015 16:00:00,869.75
3/20/2015 16:00:00,872.81
3/23/2015 16:00:00,872.35
3/24/2015 16:00:00,880.3
3/25/2015 16:00:00,869.59
3/26/2015 16:00:00,865.38
3/27/2015 16:00:00,861.6
3/30/2015 16:00:00,869.44
3/31/2015 16:00:00,869.28
4/1/2015 16:00:00,870.76
4/2/2015 16:00:00,876.3
4/6/2015 16:00:00,877.9
4/7/2015 16:00:00,883.85
4/8/2015 16:00:00,886.77
4/9/2015 16:00:00,894.65
4/10/2015 16:00:00,898.35
4/13/2015 16:00:00,898.21
4/14/2015 16:00:00,898.07
4/15/2015 16:00:00,900.9
4/16/2015 16:00:00,896.6
4/17/2015 16:00:00,894.96
4/20/2015 16:00:00,899.33
4/21/2015 16:00:00,895.81
4/22/2015 16:00:00,894.22
4/23/2015 16:00:00,899.38
4/24/2015 16:00:00,900.22
4/27/2015 16:00:00,895.7
4/28/2015 16:00:00,895.88
4/29/2015 16:00:00,895.51
4/30/2015 16:00:00,886.56
5/1/2015 16:00:00,894.57
5/4/2015 16:00:00,895.49
5/5/2015 16:00:00,883.58
5/6/2015 16:00:00,875.06
5/7/2015 16:00:00,879.78
5/8/2015 16:00:00,884.09
5/11/2015 16:00:00,884.36
5/12/2015 16:00:00,876.65
5/13/2015 16:00:00,871.82
5/14/2015 16:00:00,874.82
5/15/2015 16:00:00,879.18
5/19/2015 16:00:00,881.16
5/20/2015 16:00:00,877.15
5/21/2015 16:00:00,886.91
5/22/2015 16:00:00,886.96
5/25/2015 16:00:00,886.11
5/26/2015 16:00:00,878.59
5/27/2015 16:00:00,882.7
5/28/2015 16:00:00,882.38
5/29/2015 16:00:00,875.04
6/1/2015 16:00:00,878.2
6/2/2015 16:00:00,879.51
6/3/2015 16:00:00,883.7
6/4/2015 16:00:00,876.16
6/5/2015 16:00:00,872.21
6/8/2015 16:00:00,858.47
6/9/2015 16:00:00,863.51
6/10/2015 16:00:00,866.62
6/11/2015 16:00:00,863.83
6/12/2015 16:00:00,857.66
6/15/2015 16:00:00,859.33
6/16/2015 16:00:00,859.13
6/17/2015 16:00:00,857.49
6/18/2015 16:00:00,859.52
6/19/2015 16:00:00,852.36
6/22/2015 16:00:00,860.85
6/23/2015 16:00:00,868.28
6/24/2015 16:00:00,870.95
6/25/2015 16:00:00,867.96
6/26/2015 16:00:00,863.45
6/29/2015 16:00:00,844.33
6/30/2015 16:00:00,847.78
7/2/2015 16:00:00,853.19
7/3/2015 16:00:00,856.61
7/6/2015 16:00:00,851.82
7/7/2015 16:00:00,854.28
7/8/2015 16:00:00,841.9
7/9/2015 16:00:00,834.13
7/10/2015 16:00:00,842.74
7/13/2015 16:00:00,850.07
7/14/2015 16:00:00,852.7
7/15/2015 16:00:00,858.58
7/16/2015 16:00:00,863.48
7/17/2015 16:00:00,858.94
7/20/2015 16:00:00,847.63
7/21/2015 16:00:00,843.52
7/22/2015 16:00:00,840.23
7/23/2015 16:00:00,839.66
7/24/2015 16:00:00,835.31
7/27/2015 16:00:00,826.62
7/28/2015 16:00:00,829.95
7/29/2015 16:00:00,842.15
7/30/2015 16:00:00,848.03
7/31/2015 16:00:00,853.4
8/4/2015 16:00:00,855.47
8/5/2015 16:00:00,857.68
8/6/2015 16:00:00,851.25
8/7/2015 16:00:00,845.83
8/10/2015 16:00:00,853.85
8/11/2015 16:00:00,850.3
8/12/2015 16:00:00,844.43
8/13/2015 16:00:00,839.42
8/14/2015 16:00:00,842.16
8/17/2015 16:00:00,840.63
8/18/2015 16:00:00,837.14
8/19/2015 16:00:00,828.34
8/20/2015 16:00:00,808.93
8/21/2015 16:00:00,794.65
8/24/2015 16:00:00,770.29
8/25/2015 16:00:00,775.54
8/26/2015 16:00:00,789.87
8/27/2015 16:00:00,813.18
8/28/2015 16:00:00,817.04
8/31/2015 16:00:00,815.45
9/1/2015 16:00:00,792.19
9/2/2015 16:00:00,797.17
9/3/2015 16:00:00,800.03
9/4/2015 16:00:00,792.56
9/8/2015 16:00:00,802.41
9/9/2015 16:00:00,797.69
9/10/2015 16:00:00,799.99
9/11/2015 16:00:00,793.2
9/14/2015 16:00:00,787.19
9/15/2015 16:00:00,793.57
9/16/2015 16:00:00,811.31
9/17/2015 16:00:00,812.13
9/18/2015 16:00:00,803.73
9/21/2015 16:00:00,811.47
9/22/2015 16:00:00,792.44
9/23/2015 16:00:00,786.03
9/24/2015 16:00:00,783.83
9/25/2015 16:00:00,786.39
9/28/2015 16:00:00,763.96
9/29/2015 16:00:00,767
9/30/2015 16:00:00,784.51
10/1/2015 16:00:00,780.41
10/2/2015 16:00:00,784.44
10/5/2015 16:00:00,794.23
10/6/2015 16:00:00,800.12
10/7/2015 16:00:00,813.55
10/8/2015 16:00:00,819.87
10/9/2015 16:00:00,818.49
10/13/2015 16:00:00,811.43
10/14/2015 16:00:00,813.85
10/15/2015 16:00:00,810.83
10/16/2015 16:00:00,813.6
10/19/2015 16:00:00,808.77
10/20/2015 16:00:00,813.35
10/21/2015 16:00:00,805.26
10/22/2015 16:00:00,815.05
10/23/2015 16:00:00,819.92
10/26/2015 16:00:00,811.87
10/27/2015 16:00:00,808.2
10/28/2015 16:00:00,818.46
10/29/2015 16:00:00,814.1
10/30/2015 16:00:00,794.49
11/2/2015 16:00:00,800.44
11/3/2015 16:00:00,804.91
11/4/2015 16:00:00,802.92
11/5/2015 16:00:00,794.97
11/6/2015 16:00:00,795.18
11/9/2015 16:00:00,790.83
11/10/2015 16:00:00,787.1
11/11/2015 16:00:00,783.43
11/12/2015 16:00:00,770.61
11/13/2015 16:00:00,766.76
11/16/2015 16:00:00,781.26
11/17/2015 16:00:00,779.4
11/18/2015 16:00:00,787
11/19/2015 16:00:00,792.68
11/20/2015 16:00:00,790.68
11/23/2015 16:00:00,786.53
11/24/2015 16:00:00,787.64
11/25/2015 16:00:00,787.12
11/26/2015 16:00:00,788.64
11/27/2015 16:00:00,784.52
11/30/2015 16:00:00,791.8
12/1/2015 16:00:00,802.96
12/2/2015 16:00:00,792.93
12/3/2015 16:00:00,784.38
12/4/2015 16:00:00,786.74
12/7/2015 16:00:00,768.54
12/8/2015 16:00:00,760.81
12/9/2015 16:00:00,762.8
12/10/2015 16:00:00,766.76
12/11/2015 16:00:00,753.11
12/14/2015 16:00:00,749.53
12/15/2015 16:00:00,763.55
12/16/2015 16:00:00,778.34
12/17/2015 16:00:00,767.25
12/18/2015 16:00:00,767.24
12/21/2015 16:00:00,767.97
12/22/2015 16:00:00,771.08
12/23/2015 16:00:00,783.07
12/24/2015 16:00:00,784.16
12/29/2015 16:00:00,779.82
12/30/2015 16:00:00,773.5
12/31/2015 16:00:00,764.54
1/4/2016 16:00:00,758.36
1/5/2016 16:00:00,758
1/6/2016 16:00:00,746.31
1/7/2016 16:00:00,730.36
1/8/2016 16:00:00,729.86
1/11/2016 16:00:00,723.44
1/12/2016 16:00:00,728.17
1/13/2016 16:00:00,715.21
1/14/2016 16:00:00,726.1
1/15/2016 16:00:00,709.12
1/18/2016 16:00:00,703.69
1/19/2016 16:00:00,706.58
1/20/2016 16:00:00,695.03
1/21/2016 16:00:00,706.83
1/22/2016 16:00:00,727.8
1/25/2016 16:00:00,713.28
1/26/2016 16:00:00,724.15
1/27/2016 16:00:00,727.4
1/28/2016 16:00:00,741.32
1/29/2016 16:00:00,754.85
2/1/2016 16:00:00,745.53
2/2/2016 16:00:00,731.7
2/3/2016 16:00:00,740.22
2/4/2016 16:00:00,752.18
2/5/2016 16:00:00,752.04
2/8/2016 16:00:00,738.81
2/9/2016 16:00:00,723.8
2/10/2016 16:00:00,716.97
2/11/2016 16:00:00,710.42
2/12/2016 16:00:00,729.46
2/16/2016 16:00:00,739.68
2/17/2016 16:00:00,757.82
2/18/2016 16:00:00,761.59
2/19/2016 16:00:00,753.54
2/22/2016 16:00:00,754.45
2/23/2016 16:00:00,750.69
2/24/2016 16:00:00,747.86
2/25/2016 16:00:00,748.98
2/26/2016 16:00:00,751.93
2/29/2016 16:00:00,755.27
3/1/2016 16:00:00,762.53
